movie_id,movie_key,movie_folder,primary_video_path,primary_video_original_name,primary_video_canonical_name,primary_video_confidence,video_candidate_count,auxiliary_video_count,multiple_full_movie_candidates,external_subtitle_count,english_external_subtitle_count,embedded_subtitle_count,has_english_subtitle,image_asset_count,release_metadata_count,archive_count,unknown_file_count,rename_required,rename_status,cleanup_candidate_count,cleanup_status,manual_review_required,manual_review_reasons
tt10612922,tt10612922_OneNightinMiami,tt10612922_OneNightinMiami,tt10612922_OneNightinMiami/One.Night.in.Miami.2020.1080p.中英字幕.mp4,One.Night.in.Miami.2020.1080p.中英字幕.mp4,tt10612922_OneNightinMiami.mp4,high,1,0,False,0,0,0,False,0,0,0,0,True,PLANNED,0,NONE,False,
tt10618286,tt10618286_Mank,tt10618286_Mank,tt10618286_Mank/Mank.2020.2160p.Web.SDR.DDP5.1-老K.mkv,Mank.2020.2160p.Web.SDR.DDP5.1-老K.mkv,tt10618286_Mank.mkv,high,1,0,False,0,0,1,False,0,0,0,1,True,PLANNED,0,NONE,False,
tt10633456,tt10633456_Minari,tt10633456_Minari,,,,ambiguous,2,0,True,0,0,0,False,0,0,0,0,False,NOT_REQUIRED,0,NONE,True,MULTIPLE_FULL_MOVIE_CANDIDATES;MANUAL_REVIEW
tt1070874,tt1070874_TheTrialoftheChicago7,tt1070874_TheTrialoftheChicago7,tt1070874_TheTrialoftheChicago7/芝加哥.mp4,芝加哥.mp4,tt1070874_TheTrialoftheChicago7.mp4,high,1,0,False,0,0,0,False,0,0,0,0,True,PLANNED,0,NONE,False,
tt1084950,tt1084950_RachelGettingMarried,tt1084950_RachelGettingMarried,,,,none,0,0,False,0,0,0,False,0,0,0,1,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt1120985,tt1120985_BlueValentine,tt1120985_BlueValentine,,,,none,0,0,False,0,0,0,False,1,0,0,1,False,NOT_REQUIRED,1,PLANNED,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt1125849,tt1125849_TheWrestler,tt1125849_TheWrestler,tt1125849_TheWrestler/摔角王.2008.BD1080P.AAC.H264.CHS-ENG.mp4,摔角王.2008.BD1080P.AAC.H264.CHS-ENG.mp4,tt1125849_TheWrestler.mp4,high,1,0,False,0,0,0,False,0,0,0,0,True,PLANNED,0,NONE,False,
tt11563598,tt11563598_ACompleteUnkown,tt11563598_ACompleteUnkown,tt11563598_ACompleteUnkown/1080中英.mp4,1080中英.mp4,tt11563598_ACompleteUnkown.mp4,high,1,0,False,0,0,0,False,0,0,0,0,True,PLANNED,0,NONE,False,
tt1174732,tt1174732_AnEducation,tt1174732_AnEducation,,,,none,0,0,False,0,0,0,False,0,0,0,0,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt11813216,tt11813216_TheBansheesOfInisherin,tt11813216_TheBansheesOfInisherin,tt11813216_TheBansheesOfInisherin/The Banshees of Inisherin.2022.1080p.Blu-ray.DTS 5.1.H.265.mkv,The Banshees of Inisherin.2022.1080p.Blu-ray.DTS 5.1.H.265.mkv,tt11813216_TheBansheesOfInisherin.mkv,high,1,0,False,0,0,5,True,0,1,0,0,True,PLANNED,1,PLANNED,False,
tt1193138,tt1193138_UpintheAir,tt1193138_UpintheAir,,,,none,0,0,False,1,0,0,False,1,0,0,1,False,NOT_REQUIRED,1,PLANNED,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt1210166,tt1210166_Moneyball,tt1210166_Moneyball,,,,none,0,0,False,0,0,0,False,0,0,0,0,False,NOT_REQUIRED,0,NONE,True,NO_USABLE_PRIMARY_VIDEO;MANUAL_REVIEW
tt12300742,tt12300742_Bugonia,tt12300742_Bugonia,tt12300742_Bugonia/【4KUHD】拯救地球.中英双字.Bugonia.2025.BluRay.2160p.TrueHD7.1.HDR.x265.10bit.mkv,【4KUHD】拯救地球.中英双字.Bugonia.2025.BluRay.2160p.TrueHD7.1.HDR.x265.10bit.mkv,tt12300742_Bugonia.mkv,high,1,0,False,1,1,0,True,0,0,0,0,True,PLANNED,0,NONE,False,
tt12536294,tt12536294_Spencer,tt12536294_Spencer,tt12536294_Spencer/Spencer.2021.BluRay.1080p.DTS-HD.MA.5.1.x265-OPT.mkv,Spencer.2021.BluRay.1080p.DTS-HD.MA.5.1.x265-OPT.mkv,tt12536294_Spencer.mkv,high,1,0,False,0,0,5,True,0,0,0,0,True,PLANNED,0,NONE,False,
