movie_key,source_relpath,action,category,destination_relpath,status,reason
tt17009710_AnatomyOfAFall,tt17009710_AnatomyOfAFall/Anatomy.of.a.Fall.2023.1080p.BluRay.x264.DTS-SONYHD.mkv,RENAME,PRIMARY_VIDEO,tt17009710_AnatomyOfAFall/tt17009710_AnatomyOfAFall.mkv,PLANNED,canonical primary filename
tt1727824_BohemianRhapsody,tt1727824_BohemianRhapsody/Bohemian.Rhapsody.2018.BluRay.1080p.x265.10bit.MNHD-FRDS.mkv,RENAME,PRIMARY_VIDEO,tt1727824_BohemianRhapsody/tt1727824_BohemianRhapsody.mkv,PLANNED,canonical primary filename
tt1727824_BohemianRhapsody,tt1727824_BohemianRhapsody/Bohemian.Rhapsody.2018.BluRay.1080p.x265.10bit.MNHD-FRDS.nfo,QUARANTINE,RELEASE_METADATA,tt1727824_BohemianRhapsody/Bohemian.Rhapsody.2018.BluRay.1080p.x265.10bit.MNHD-FRDS.nfo,PLANNED,safe cleanup category
tt17526714_TheSubstance,tt17526714_TheSubstance/The.Substance.2024.1080p.BluRay.x265.10bit.DTS.mkv,RENAME,PRIMARY_VIDEO,tt17526714_TheSubstance/tt17526714_TheSubstance.mkv,PLANNED,canonical primary filename
tt18382850_IfIHadLegsIdKickYou,tt18382850_IfIHadLegsIdKickYou/如果有腿，我会踢你.2025.BD1080P.mp4,RENAME,PRIMARY_VIDEO,tt18382850_IfIHadLegsIdKickYou/tt18382850_IfIHadLegsIdKickYou.mp4,PLANNED,canonical primary filename
tt18382850_IfIHadLegsIdKickYou,tt18382850_IfIHadLegsIdKickYou/If I Had Legs I_d Kick You (2025)-en.srt,RENAME,ENGLISH_SUBTITLE,tt18382850_IfIHadLegsIdKickYou/tt18382850_IfIHadLegsIdKickYou.en.srt,PLANNED,canonical English subtitle filename
tt19770238_Aftersun,tt19770238_Aftersun/晒后假日 2022.mp4,RENAME,PRIMARY_VIDEO,tt19770238_Aftersun/tt19770238_Aftersun.mp4,PLANNED,canonical primary filename
tt20215234_Conclave,tt20215234_Conclave/秘密会议.Conclave.2024.UHD.Bluray..2160p.REMUXHDR10.HEVC.Atmos.TrueHD.7.1-UBits.mkv,RENAME,PRIMARY_VIDEO,tt20215234_Conclave/tt20215234_Conclave.mkv,PLANNED,canonical primary filename
tt20221436_EmiliaPerez,tt20221436_EmiliaPerez/艾米莉亚·佩雷斯.Emilia Pérez.2024.1080p中英字幕.mp4,RENAME,PRIMARY_VIDEO,tt20221436_EmiliaPerez/tt20221436_EmiliaPerez.mp4,PLANNED,canonical primary filename
tt21823606_ARealPain,tt21823606_ARealPain/真正的痛苦.中英双字.2024.1080P.mkv,RENAME,PRIMARY_VIDEO,tt21823606_ARealPain/tt21823606_ARealPain.mkv,PLANNED,canonical primary filename
